id,name,city,latitude,longitude,totalBeds,erBeds,phone,website,specialties,data_status,notes
mh-14684,Arihant Heart and Surgical Hospital,mumbai,19.2240612,72.8666469,40,2,8172747667,,"Cardiology, General Surgery",estimated,Estimated/inferred where public source was unavailable
mh-14685,Banaji Eyesurgery and Laser Center,mumbai,21.2022869,72.8712951,8,1,8632781329,,"Ophthalmology, General Surgery, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14687,Charak Clinic Nursing Home,mumbai,18.9519338,72.8189832,20,1,9188625780,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14688,Dalvi Plus,mumbai,19.046295,72.8415449,60,7,9048252257,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14689,Doshi Nursing Home,mumbai,19.0796375,72.9070116,30,3,8818546367,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14690,Dr Kiran Katar Clinic,mumbai,19.0176169,72.8561288,20,2,9019495120,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14691,Dr Satish Padmanabhan Clinic,mumbai,19.0176169,72.8561288,20,2,8073219617,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14693,Dr. Ramesh Chaudhari,mumbai,19.0759837,72.8776559,60,7,9190012679,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14696,Dr.Jaydeep S Khedkar,mumbai,19.0176169,72.8561288,60,5,8744943058,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14697,Gokul Nursing Home and Iccu,mumbai,19.1738547,72.8476718,30,2,9662625044,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14699,Kapadia Multi Speciality Hospital,mumbai,19.1630556,72.8390592,120,12,9167968365,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14702,Laser Eye Surgery Center,mumbai,19.0599051,72.8342113,8,1,8755267488,,"Ophthalmology, General Surgery, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14703,Marve Nursing Home,mumbai,19.1963422,72.8105333,30,2,9496932791,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14704,Mauli Hospital,mumbai,19.2539332,72.8672448,120,6,8221938682,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14705,Nath Hospital,mumbai,19.2041173,72.9747855,120,5,9648783094,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14706,Phiroze M.Dastoor and Co,mumbai,18.9380988,72.8343567,60,6,8216333359,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14708,Prathana Hospital,mumbai,19.0759837,72.8776559,120,6,9771886765,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14710,Radiation Medicine Centre Bhabha Atomic Research C,mumbai,19.0176169,72.8561288,60,7,9287376012,,ENT,estimated,Estimated/inferred where public source was unavailable
mh-14711,Raj Hospital,mumbai,19.0355766,73.0228173,120,13,8595176782,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14713,Sai Hospital,mumbai,19.0759837,72.8776559,120,14,8108009749,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14714,Sanjawalas Maternity and Gynacologist,mumbai,19.0963781,72.8563994,60,6,8490540321,,Gynecology,estimated,Estimated/inferred where public source was unavailable
mh-14716,Shree Arihant Eye Care Centre,mumbai,19.2550851,72.8571396,8,1,7335632429,,"Ophthalmology, ENT",estimated,Estimated/inferred where public source was unavailable
mh-14717,Shreeji Hospital,mumbai,19.0834108,72.9022333,120,7,7335064381,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
mh-14718,Sonkusare Clinic,mumbai,22.5023688,88.4032524,20,1,8458210476,,General Medicine,estimated,Estimated/inferred where public source was unavailable
mh-14719,Surbhi Dental Clinic(Dr.Samata Dhuppad),mumbai,19.0176169,72.8561288,10,1,7647988934,,"ENT, Dentistry, General Medicine",estimated,Estimated/inferred where public source was unavailable
mh-14720,Uday Pathak Hospital,mumbai,19.0759837,72.8776559,120,11,7798300120,,Multi-specialty,estimated,Estimated/inferred where public source was unavailable
